from,to,amount,resource,time
0,72832678164482443,2.314814814852184e-05,energy,145
0,72832678164482443,2.314816160975397e-05,food,146
0,72832678164482443,2.314814814852184e-05,water,146
0,72832678164482443,2.314814814852184e-05,energy,146
0,72832678164482443,2.3148134687289712e-05,food,147
0,72832678164482443,2.314814814852184e-05,water,147
0,72832678164482443,2.314814814852184e-05,energy,147
0,72832678164482443,2.314816160975397e-05,food,148
0,72832678164482443,2.314814814852184e-05,water,148
0,72832678164482443,2.314814814852184e-05,energy,148
0,72832678164482443,2.3148134687289712e-05,food,149
0,72832678164482443,2.314814814852184e-05,water,149
0,72832678164482443,2.314814814852184e-05,energy,149
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,149
0,72832678164482443,2.314816160975397e-05,food,150
0,72832678164482443,2.314814814852184e-05,water,150
0,72832678164482443,2.314814814852184e-05,energy,150
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,150
0,72832678164482443,2.3148134687289712e-05,food,151
0,72832678164482443,2.314814814852184e-05,water,151
0,72832678164482443,2.314814814852184e-05,energy,151
0,72832678164482443,2.314816160975397e-05,food,152
0,72832678164482443,2.314814814852184e-05,water,152
0,72832678164482443,2.314814814852184e-05,energy,152
0,72832678164482443,2.3148134687289712e-05,food,153
0,72832678164482443,2.314814814852184e-05,water,153
0,72832678164482443,2.314814814852184e-05,energy,153
0,72832678164482443,2.314816160975397e-05,food,154
0,72832678164482443,2.314814814852184e-05,water,154
0,72832678164482443,2.314814814852184e-05,energy,154
0,72832678164482443,2.3148134687289712e-05,food,155
0,72832678164482443,2.314814814852184e-05,water,155
0,72832678164482443,2.314814814852184e-05,energy,155
0,72832678164482443,2.314816160975397e-05,food,156
0,72832678164482443,2.314814814852184e-05,water,156
0,72832678164482443,2.314814814852184e-05,energy,156
0,72832678164482443,2.3148134687289712e-05,food,157
0,72832678164482443,2.314814814852184e-05,water,157
0,72832678164482443,2.314814814852184e-05,energy,157
0,72832678164482443,2.314816160975397e-05,food,158
0,72832678164482443,2.314814814852184e-05,water,158
0,72832678164482443,2.314814814852184e-05,energy,158
0,72832678164482443,2.3148134687289712e-05,food,159
0,72832678164482443,2.314814814852184e-05,water,159
0,72832678164482443,2.314814814852184e-05,energy,159
