from,to,amount,resource,time
59157180392455231,5486152879909817087,0.1666666666666725,energy,108000
59157180392455231,4215053395084778161,0.1666666666666652,energy,108000
59157180392455231,471331748438011125,0.1666666666666643,energy,108000
4367212442693622771,6678226921428014654,0.1189438674891159,food,108000
9169393089374786098,940376366249863041,0.11196344749368237,food,108000
6020427076749934001,940376366249863041,0.054703219172984374,food,108000
6020427076749934001,6678226921428014654,0.04772279917755107,food,108000
4367212442693622771,6678226921428014654,0.1189438674891159,water,108000
9169393089374786098,940376366249863041,0.11196344749368237,water,108000
6020427076749934001,940376366249863041,0.054703219172984374,water,108000
6020427076749934001,6678226921428014654,0.04772279917755107,water,108000
4367212442693622771,6678226921428014654,0.1189438674891159,energy,108000
9169393089374786098,940376366249863041,0.11196344749368237,energy,108000
6020427076749934001,940376366249863041,0.054703219172984374,energy,108000
6020427076749934001,6678226921428014654,0.04772279917755107,energy,108000
59157180392455231,4215053395084778161,0.16666666666666874,food,115200
59157180392455231,471331748438011125,0.16666666666666785,food,115200
59157180392455231,5486152879909817087,0.16666666666666496,food,115200
59157180392455231,4215053395084778161,0.16666666666666874,water,115200
59157180392455231,471331748438011125,0.16666666666666785,water,115200
59157180392455231,5486152879909817087,0.16666666666666496,water,115200
59157180392455231,4215053395084778161,0.16666666666666874,energy,115200
59157180392455231,471331748438011125,0.16666666666666785,energy,115200
59157180392455231,5486152879909817087,0.16666666666666496,energy,115200
6020427076749934001,6678226921428014654,0.1150423574058621,food,115200
4367212442693622771,940376366249863041,0.11096299948547195,food,115200
9169393089374786098,940376366249863041,0.055703667181194794,food,115200
9169393089374786098,6678226921428014654,0.05162430926080486,food,115200
6020427076749934001,6678226921428014654,0.1150423574058621,water,115200
4367212442693622771,940376366249863041,0.11096299948547195,water,115200
9169393089374786098,940376366249863041,0.055703667181194794,water,115200
9169393089374786098,6678226921428014654,0.05162430926080486,water,115200
6020427076749934001,6678226921428014654,0.1150423574058621,energy,115200
4367212442693622771,940376366249863041,0.11096299948547195,energy,115200
9169393089374786098,940376366249863041,0.055703667181194794,energy,115200
9169393089374786098,6678226921428014654,0.05162430926080486,energy,115200
59157180392455231,5486152879909817087,0.16666666666666852,food,122400
59157180392455231,4215053395084778161,0.16666666666666696,food,122400
59157180392455231,471331748438011125,0.16666666666666452,food,122400
59157180392455231,5486152879909817087,0.16666666666666852,water,122400
59157180392455231,4215053395084778161,0.16666666666666696,water,122400
59157180392455231,471331748438011125,0.16666666666666452,water,122400
